Type;Node1;Node2;Distance(m);MaxWidth(cm);MaxLength(cm);MaxDraught(cm);MaxHeight(cm);DefaultPassageDuration;AvgProcessingTime
DEFAULT;0;41;217,081330505961;960;8600;250;2147483647;86,8325322023846;0
DEFAULT;0;282;512,653420490907;960;8600;250;2147483647;205,061368196363;0
DEFAULT;1;44;2085,18939428896;960;8600;250;2147483647;834,075757715584;0
DEFAULT;1;45;1679,26381978973;960;8600;250;2147483647;671,705527915892;0
DEFAULT;2;48;896,251527893132;960;8600;250;2147483647;358,500611157253;0
DEFAULT;2;49;1115,80273356096;960;8600;250;2147483647;446,321093424385;0
DEFAULT;3;66;40,0714684852703;960;8600;250;2147483647;16,0285873941081;0
DEFAULT;3;67;1192,74567143331;960;8600;250;2147483647;477,098268573325;0
DEFAULT;3;37;62,0531492124426;510;3850;180;2147483647;27,9239171455992;0
DEFAULT;4;72;1022,98303813369;960;8600;250;2147483647;409,193215253475;0
DEFAULT;4;73;647,142716661969;1150;11000;280;2147483647;258,857086664788;0
DEFAULT;5;76;80,7709456056916;1150;11000;280;2147483647;32,3083782422766;0
DEFAULT;5;77;317,033642649399;1150;11000;280;2147483647;126,81345705976;0
DEFAULT;6;82;618,083202520036;1150;11000;280;2147483647;247,233281008014;0
DEFAULT;6;83;2924,83417757197;1150;11000;280;2147483647;1169,93367102879;0
DEFAULT;6;226;319,351912003241;1150;11000;280;2147483647;76,6444588807777;0
DEFAULT;7;84;14,7637874463543;1150;11000;280;2147483647;5,9055149785417;0
DEFAULT;7;85;1384,28024684387;1150;11000;280;2147483647;553,712098737549;0
DEFAULT;8;86;405,500114818216;1150;11000;280;2147483647;162,200045927287;0
DEFAULT;8;87;603,157785074074;1150;11000;280;2147483647;241,26311402963;0
DEFAULT;9;88;86,250203367721;1150;11000;280;2147483647;34,5000813470884;0
DEFAULT;9;10;1243,93512442359;1150;11000;280;2147483647;497,574049769434;0
DEFAULT;10;9;1243,93512442359;1150;11000;280;2147483647;497,574049769434;0
DEFAULT;10;89;996,692970946832;1150;11000;280;2147483647;398,677188378733;0
DEFAULT;11;96;724,7682944;1150;11000;280;2147483647;289,90731776;0
DEFAULT;11;97;1007,29022090276;750;7300;230;2147483647;1208,74826508332;0
DEFAULT;11;151;1039,36536279457;1150;11000;280;2147483647;249,447687070698;0
DEFAULT;12;108;24,3007328949852;750;7300;230;2147483647;29,1608794739822;0
DEFAULT;12;109;6358,78161104459;505;3850;190;2147483647;7630,53793325351;0
DEFAULT;13;110;7217,57237648704;505;3850;190;2147483647;8661,08685178445;0
DEFAULT;13;111;814,221553827238;505;3850;190;2147483647;977,065864592685;0
DEFAULT;14;114;51,4354166528016;505;3850;190;2147483647;61,7224999833619;0
DEFAULT;14;115;61,5736844354929;510;3850;160;2147483647;73,8884213225915;0
